Latitude,Longitude,Heading,Distance
17.59618,78.124413,81.0,25.23
17.59618,78.124413,81.0,25.24
17.59618,78.124413,81.0,25.24
17.59618,78.124413,81.0,25.46
17.59618,78.124413,81.0,25.46
17.59618,78.124413,80.0,25.03
17.59618,78.124413,80.0,25.24
17.59618,78.124413,81.0,25.23
17.59618,78.124413,80.0,25.44
17.59618,78.124413,80.0,25.46
17.59618,78.124413,81.0,25.45
17.59618,78.124413,81.0,25.29
17.59618,78.124413,81.0,25.45
17.59618,78.124413,81.0,24.87
17.59618,78.124413,81.0,25.24
17.59618,78.124413,81.0,25.88
17.59618,78.124413,81.0,24.82
17.59618,78.124413,81.0,25.29
17.59618,78.124413,81.0,25.81
17.59618,78.124413,80.0,25.86
17.59618,78.124413,81.0,25.24
17.59618,78.124413,81.0,25.87
17.59618,78.124413,81.0,25.92
17.59618,78.124413,81.0,25.45
17.59618,78.124413,81.0,22.68
17.59618,78.124413,81.0,22.89
17.59618,78.124413,81.0,25.88
17.59618,78.124413,81.0,25.87
17.59618,78.124413,81.0,25.45
17.59618,78.124413,81.0,25.45
17.59618,78.124413,81.0,25.03
17.59618,78.124413,81.0,25.45
17.59618,78.124413,81.0,25.88
17.59618,78.124413,81.0,25.46
17.59618,78.124413,81.0,25.45
17.59618,78.124413,81.0,24.82
17.59618,78.124413,81.0,25.46
17.59618,78.124413,81.0,25.45
17.59618,78.124413,81.0,25.5
17.59618,78.124413,81.0,25.46
17.59618,78.124413,81.0,25.87
17.59618,78.124413,81.0,25.46
17.59618,78.124413,80.0,25.45
17.59618,78.124413,81.0,25.44
17.59618,78.124413,80.0,25.24
17.59618,78.124413,81.0,25.45
17.59618,78.124413,81.0,25.46
17.59618,78.124413,81.0,25.45
17.59618,78.124413,81.0,25.45
17.59618,78.124413,81.0,25.02
17.59618,78.124413,81.0,25.02
17.59618,78.124413,81.0,25.24
17.59618,78.124413,81.0,25.46
17.59618,78.124413,81.0,25.24
17.59618,78.124413,81.0,25.24
17.59618,78.124413,81.0,25.46
17.59618,78.124413,81.0,25.46
17.59618,78.124413,81.0,25.24
17.59618,78.124413,80.0,25.24
17.59618,78.124413,81.0,25.24
17.59618,78.124413,81.0,25.46
17.59618,78.124413,81.0,25.46
17.59618,78.124413,81.0,25.46
17.59618,78.124413,81.0,25.24
17.59618,78.124413,81.0,25.24
17.59618,78.124413,81.0,24.61
17.59618,78.124413,81.0,23.76
