Easting (m),Northing (m),Heading (°),Distance (cm)
194744.0838093631,1947750.9142250342,-15.0,26.92
194741.6186683911,1947750.1598574982,-19.0,26.39
194741.61564273166,1947750.1608993164,-19.0,26.07
194741.62642164342,1947750.1571878395,-19.0,27.21
194741.63114923632,1947750.1555599987,-19.0,27.71
194735.77966665576,1947749.2816199467,-72.0,17.21
194722.55375073862,1947751.7290117752,-176.0,24.75
194722.53950621773,1947751.73259065,-177.0,26.15
194709.73801816255,1947784.382317323,-28.0,28.35
194709.73157264513,1947784.3857444655,-28.0,27.62
194712.14961324498,1947784.1335282933,-29.0,25.43
194712.14707684782,1947784.1349342412,-29.0,25.14
194712.14073891382,1947783.9150899278,-29.0,24.8
194712.15464536715,1947783.907381455,-29.0,26.39
194709.2638097783,1947784.5036787896,-177.0,22.42
194710.91410989035,1947785.032696345,-176.0,17.56
194710.91281305708,1947785.0326056613,-176.0,17.69
194710.91667607724,1947785.254133207,-176.0,17.64
194710.9021078605,1947785.2564525486,-177.0,19.08
194707.59337595315,1947801.6637227966,11.0,29.49
194706.623064848,1947801.8534246732,4.0,16.59
194705.94144419418,1947801.373084681,-9.0,23.7
194705.9229430816,1947801.383689628,-7.0,21.72
194705.905960213,1947801.6076806274,-7.0,19.67
194705.90804455988,1947801.6074247018,-7.0,19.88
194701.4717025941,1947801.2465460137,-179.0,19.63
194701.50827004248,1947801.2443949815,-178.0,15.98
194701.507670408,1947801.244374042,-178.0,16.04
194718.29608084957,1947820.025764455,-8.0,19.66
194723.1920854423,1947820.8982202031,-45.0,26.61
194723.17742471065,1947820.9003249358,-47.0,25.44
194723.1667173364,1947820.911807189,-47.0,23.87
194723.16555793918,1947820.9130504902,-47.0,23.7
194723.1627759338,1947820.909958736,-48.0,23.74
194723.16558628235,1947820.9068375276,-48.0,24.16
194722.90419250296,1947820.8623799714,-114.0,24.52
194724.43257091334,1947822.5083943552,-182.0,18.65
194724.43368552468,1947822.50511953,-181.0,18.53
194725.28855552265,1947822.4952689502,-182.0,18.02
194725.2727755862,1947822.4923989873,-181.0,19.59
194744.31778903003,1947839.9075669397,-269.0,20.3
194744.31462767522,1947839.8965808353,-268.0,19.21
194744.328395794,1947840.5425493137,-269.0,17.35
194778.07405416513,1947814.959741598,-83.0,19.66
194779.65881093498,1947753.6253528225,-69.0,26.75
194779.6517292711,1947753.655343013,-68.0,23.7
194779.66238958546,1947753.6618313643,-65.0,23.53
194779.6558868314,1947753.6663404494,-66.0,22.85
194779.67579263638,1947753.7077858043,-56.0,20.18
194779.6881592445,1947753.6962646951,-55.0,21.83
194779.70880799624,1947753.6667752215,-55.0,25.43
194779.66882105666,1947753.6372897038,-66.0,26.03
194779.68736632474,1947753.6082685739,-65.0,29.44
194779.7325991635,1947753.649950236,-53.0,28.19
194779.70571606283,1947753.6374788107,-59.0,27.72
194779.62911122525,1947753.65867382,-73.0,22.63
194779.61517719176,1947753.6801617546,-75.0,20.18
194779.61317696734,1947753.7107924293,-73.0,17.18
